171  903  1795     76	171  903  1795     12
172  900  1851     58	172  900  1851     18
173  879  1805     56	173  879  1805     18
174  894  1951     56	174  894  1951     18
175  954  1752     88	175  954  1752     14
176  936  1864     62	176  936  1864     18
177  921  2093     62	177  921  2093     18
178  939  2200     52	178  939  2200     16
179  948  2027     52	179  948  2027     18
180  939  1898     68	180  939  1898     14
181  945  1909     66	181  945  1909     16
182  951  1993     56	182  951  1993     14
183  948  1991     66	183  948  1991     22
184  984  2096     54	184  984  2096     14
185  999  1942     70	185  999  1942     16
186  1002  1964     62	186  1002  1964     20
187  984  2380     54	187  984  2380     20
188  1038  2075     84	188  1038  2075     16
189  1011  2136     80	189  1011  2136     14
190  1029  2192     60	190  1029  2192     18
191  1002  2160     54	191  1002  2160     22
192  1029  2200     50	192  1029  2200     20
193  1029  2089     66	193  1029  2089     18
194  984  2270     50	194  984  2270     16
195  1071  2170     68	195  1071  2170     14
196  1044  2243     54	196  1044  2243     18
197  1095  2217     70	197  1095  2217     16
198  1161  2097     74	198  1161  2097     16
199  1092  2082     72	199  1092  2082     14
200  1104  2111     72	200  1104  2111     16
201  1032  2444     64	201  1032  2444     16
202  1038  2454     60	202  1038  2454     20
203  1107  2267     62	203  1107  2267     20
204  1125  2266     56	204  1125  2266     22
205  1068  2367     60	205  1068  2367     16
206  1071  2478     52	206  1071  2478     16
207  1113  2274     82	207  1113  2274     22
208  1119  2316     70	208  1119  2316     20
209  1143  2233     74	209  1143  2233     16
210  1143  2491     68	210  1143  2491     18
211  1173  2400     64	211  1173  2400     18
212  1128  2343     76	212  1128  2343     16
213  1173  2658     66	213  1173  2658     16
214  1176  2740     54	214  1176  2740     14
215  1212  2573     54	215  1212  2573     18
216  1209  2645     54	216  1209  2645     20
217  1176  2377     90	217  1176  2377     18
218  1185  2426     98	218  1185  2426     16
219  1122  2629     56	219  1122  2629     20
220  1164  2582     50	220  1164  2582     20
221  1170  2617     48	221  1170  2617     22
222  1182  2489     70	222  1182  2489     16
223  1212  2874     54	223  1212  2874     14
224  1230  2658     78	224  1230  2658     16
225  1233  3069     46	225  1233  3069     30
226  1236  2751     60	226  1236  2751     20
227  1251  2660     60	227  1251  2660     22
228  1263  2517     66	228  1263  2517     18
229  1266  2741     58	229  1266  2741     20
230  1266  2552     84	230  1266  2552     22
231  1284  2682     72	231  1284  2682     20
232  1305  2606     64	232  1305  2606     20
233  1296  2723     62	233  1296  2723     20
234  1248  2786     74	234  1248  2786     18
235  1254  2529     102	235  1254  2529     14
236  1311  2678     80	236  1311  2678     18
237  1314  2757     84	237  1314  2757     14
238  1323  2834     74	238  1323  2834     20
239  1338  2577     90	239  1338  2577     18
240  1356  2656     82	240  1356  2656     18
241  1263  2942     64	241  1263  2942     22
242  1266  2982     60	242  1266  2982     22
243  1365  2902     72	243  1365  2902     16
244  1329  3087     64	244  1329  3087     20
245  1371  3007     74	245  1371  3007     20
246  1389  3022     70	246  1389  3022     20
247  1434  2795     76	247  1434  2795     16
248  1446  2800     84	248  1446  2800     18
249  1443  2976     80	249  1443  2976     22
250  1461  2891     76	250  1461  2891     22
251  1365  3004     86	251  1365  3004     16
252  1395  2779     94	252  1395  2779     16
253  1458  2873     90	253  1458  2873     14
254  1455  2869     90	254  1455  2869     14
255  1479  2761     100	255  1479  2761     16
256  1431  2915     90	256  1431  2915     18
257  1476  2962     76	257  1476  2962     18
258  1473  2903     90	258  1473  2903     18
259  1461  3030     74	259  1461  3030     20
260  1539  3009     88	260  1539  3009     18
261  1443  3009     76	261  1443  3009     20
262  1437  3091     86	262  1437  3091     16
263  1458  3145     80	263  1458  3145     22
264  1470  3128     74	264  1470  3128     22
265  1440  3171     74	265  1440  3171     20
266  1407  3418     76	266  1407  3418     18
267  1509  3188     80	267  1509  3188     18
268  1551  3064     90	268  1551  3064     22
269  1572  3530     76	269  1572  3530     16
270  1521  3385     78	270  1521  3385     22
271  1530  3165     92	271  1530  3165     26
272  1554  3292     70	272  1554  3292     24
273  1572  3259     110	273  1572  3259     18
274  1593  3486     80	274  1593  3486     20
275  1629  3361     84	275  1629  3361     22
276  1587  3418     74	276  1587  3418     18
277  1653  3310     86	277  1653  3310     20
278  1623  3266     88	278  1623  3266     18
279  1584  3368     90	279  1584  3368     14
280  1605  3490     70	280  1605  3490     16
281  1614  3351     94	281  1614  3351     18
282  1584  3378     76	282  1584  3378     20
283  1650  3224     102	283  1650  3224     22
284  1656  3163     108	284  1656  3163     18
285  1647  3318     86	285  1647  3318     16
286  1596  3633     80	286  1596  3633     18
287  1659  3410     84	287  1659  3410     22
288  1671  3416     86	288  1671  3416     18
289  1731  3230     112	289  1731  3230     14
290  1707  3117     114	290  1707  3117     14
291  1686  3441     88	291  1686  3441     28
292  1725  3397     90	292  1725  3397     20
293  1665  3405     92	293  1665  3405     20
294  1683  3630     76	294  1683  3630     20
295  1716  3738     76	295  1716  3738     18
296  1803  3638     84	296  1803  3638     22
297  1665  3641     86	297  1665  3641     20
298  1689  3671     84	298  1689  3671     20
299  1773  3778     96	299  1773  3778     20
300  1803  3600     96	300  1803  3600     22
301  1701  3855     86	301  1701  3855     24
302  1728  3690     92	302  1728  3690     22
303  1815  3710     74	303  1815  3710     20
304  1734  3862     86	304  1734  3862     24
305  1716  3809     78	305  1716  3809     22
306  1776  3592     108	306  1776  3592     20
307  1797  3688     110	307  1797  3688     20
308  1845  3802     96	308  1845  3802     20
309  1785  3797     106	309  1785  3797     18
310  1782  4114     88	310  1782  4114     20
